article,candidate,score,publishedAt
hold big advantage among early voter election day voter poll vice president hold commanding lead former president support early voter according new nbc news poll released tuesday,Kamala Harris,0.5719,2024-10-15T11:26:19Z
october pb news hour full episode tuesday news hour court young black voter test new campaign tactic playing clip rally israeli airstrikes increasingly threaten area considered safe lebanese civilian already displaced,Kamala Harris,0.2732,2024-10-16T00:41:57Z
imprison people criticizing supreme court rally indiana pennsylvania monday defended supreme court verbal criticism claimed people put prison demented talked arresting people criticizing supreme court claimed v,Kamala Harris,0.1531,2024-09-24T16:55:38Z
watch address black journalist democratic nominee president talk group wa hostile,Kamala Harris,-0.3818,2024-09-17T18:36:06Z
face question joy gun ban org grilled finally sat interview nabj tuesday wa asked important joy presidential campaign,Kamala Harris,0.5267,2024-09-17T21:20:35Z
release medical report saying shes fit office ha yet provide vice president released summary medical record white house physician deemed healthy yearold female ha medical history notable seasonal allergy urticaria,Kamala Harris,0.8402,2024-10-12T14:00:07Z
merrick garland doj pep rally prof debate merrick garland right concerned politicization doj federal government maybe look mirror,Kamala Harris,0.0,2024-09-18T11:26:28Z
rage fake news reporter mcdonalds story rally rant vow next week hell try french fry job raged fake news reporter failing report baseless assertion vp lied working mcdonalds post rage fake news reporter mcdonalds story rally rant vow next week hell try french,Kamala Harris,-0.9902,2024-09-24T16:55:41Z
supporter claim video show embracing p diddy actually montel williams montel williams relationship back news,Kamala Harris,0.2732,2024-09-17T22:03:26Z
chappell roan spark outrage nonendorsement mispronouncing singersongwriter chappell roan attempting clarify political stance ahead presidential election nonendorsement vice president stoked outrage among democratic fan last week new tiktok attempted,Kamala Harris,-0.5267,2024-09-26T18:08:08Z
tucker carlson apologizes defending evil dick cheney year turned prokamala kennedy ha endorsed dick cheney ha endorsed kind sum conservative pundit tell megyn kelly post tucker carlson apologizes defending evil dick cheney year turned pr,Kamala Harris,-0.6705,2024-10-16T22:41:10Z
lara say fatherinlaw wa joking around wild attack ,Kamala Harris,-0.296,2024-10-03T05:24:47Z
bet hip hop award talk economy fat joe short sat bet hip hop award discus election,Kamala Harris,0.7906,2024-10-16T02:27:43Z
think faye dunaway communist marxist sunday rally erie pennsylvania rambled knowing difference communism marxism socialism instead evoked movie chinatown clear thing claimed vp ha allowed million billion crim,Kamala Harris,0.6124,2024-10-01T01:00:01Z
harris campaign raise four time report adviser encouraging donor continue contributing affluent supporter funding trumpaligned super pac,Kamala Harris,0.8555,2024-09-21T10:59:03Z
hillary clinton warns prepared october surprise hillary clinton sounded upbeat chance accomplishing clinton hoped becoming first woman president also advice clinton believe strongly ha prepared lastminut,Kamala Harris,0.891,2024-10-12T17:14:31Z
say hurricane helene katrina death toll rise call helene worst hurricane response president vice president since katrina defends federal aid effort,Kamala Harris,-0.8402,2024-10-06T00:11:01Z
maga host say friend moving foreign country beat david edwardsraw story david edward raw story maga host say friend moving foreign country beat promaga tv host gina loudon revealed friend moving foreign country vice president win bid,Kamala Harris,0.9246,2024-10-16T21:40:00Z
tim walz lose ground woman voter minnesota new poll showed woman voter shift male voter shift minnesota,Kamala Harris,-0.4019,2024-09-23T19:45:53Z
elon musk isnt apologizing post assassination xtucker carlson elon musk offered explanation controversial post x last month one even trying assassinate joe biden harrisin lengthy sitdown fellow supporter tucker carlson musk told former fo,Kamala Harris,0.5673,2024-10-08T00:32:43Z
took dad rudy giulianis daughter lament father maga turn rudy giulianis daughter caroline giuliani endorsed vice president lamented father relationship monday post took dad rudy giulianis daughter lament father maga turn first appeared mediaite,Kamala Harris,-0.7506,2024-10-01T02:04:55Z
poll virtually tied georgia data ajc poll chart dani albertiaxios visuals battle former president vice president win georgia could close according new atlantajournal constitutionuniversity georgia poll matter poll,Kamala Harris,0.3182,2024-09-18T09:06:57Z
gain voter still weirdly think economy might take couple rant great man fix,Kamala Harris,0.5994,2024-09-21T15:16:07Z
watch reveal detail phone call second assassination attempt amid partisan fingerpointing recrimination irresponsible rhetoric leading political violence two presidential candidate shared nice call post watch reveal detail phone call second assassinatio,Kamala Harris,-0.7717,2024-09-18T14:30:45Z
want america world highest death tax something one medium reporting vice president continues duck weave like muhammad ali ring avoid question economic plan american business defense foundation report,Kamala Harris,-0.4215,2024-10-15T14:51:22Z
sharpens negative attack wall street journal wall street journal sharpens negative attack vice president tell campaign use republican word democrat debate best way take vice president walked stag,Kamala Harris,-0.8555,2024-10-16T13:20:00Z
watch live speaks site washington crossed delaware gop supporter expected talk upholding constitution defending patriotism vice president accompanied former u rep adam kinzinger rill gop official rejected argue threat american democ,Kamala Harris,-0.7906,2024-10-16T19:22:10Z
betting market summary v ha substantial percentagepoint rcp average lead helped strong vp pick recent gaffe refused go minute good move went flubbed interview big time despite deceptive editing favor al,Kamala Harris,0.7133,2024-10-15T17:07:55Z
bartirs outreach black menck men fox business host queen magats maria bartiromo wa visibly upset tuesday vp ha unveiled new policy black men entrepreneur fox business put resident black magat rep byron donalds attack,Kamala Harris,-0.296,2024-10-16T14:11:44Z
hawk silver coin silveradding bible sneaker merchandise ha ramped merchandise offering throughout election cycle competitor vice president maintains funding advantage,Kamala Harris,0.5267,2024-09-21T21:26:44Z
accepts invite nd presidential debate challenge join campaign wa quick call second debate two nominee shortly sept meeting abc wrapped,Kamala Harris,0.6597,2024-09-21T18:21:34Z
bust laughing msnbc host asks mcdonalds rant vp busted laughing msnbc host stephanie ruhle asked recent rant mcdonalds working fry station post bust laughing msnbc host asks mcdonalds rant first appeared,Kamala Harris,0.5267,2024-09-26T11:52:43Z
ethel cain defends chappell roan refusal endorse ethel cain defends chappell roan people demanding endorse harrisyall stupid enough scream fck israel year rightfully go happily vote like didnt get debate stage,Kamala Harris,0.4019,2024-09-27T01:00:21Z
bidens trail president first lady campaign biggest battleground president biden first lady jill biden head battleground pennsylvania campaign downballot democrat vice president race former president,Kamala Harris,-0.6597,2024-10-15T17:09:20Z
mike johnson give conditional answer asked hed certify victory speaker house mike johnson offered conditional response wa asked hed certify win november post mike johnson give conditional answer asked hed certify victory first appeared,Kamala Harris,0.5859,2024-09-24T17:32:58Z
powerful ad take woodshed bashing detroit theme america first candidate president united state consistently bash check note united state felon last target wa detroit attacked city face detroit wa supposed,Kamala Harris,0.6597,2024-10-12T13:33:16Z
cnn crew laugh convicted felon segment big gun reveal cnns morning show crew busted laughing segment vp harris gun ownership felony conviction post cnn crew laugh convicted felon segment big gun reveal fir,Kamala Harris,0.1779,2024-10-08T13:26:43Z
lemon farright medium misogyny sexism black men ditched monday eponymous independent show former cnn host lemon lashed black latino men whove minimum shown iciness toward vice president openness former president lemon argued wa due consumm,Kamala Harris,-0.0258,2024-10-16T21:08:05Z
snl weekend update tackle assassination attempt p diddy eric adam indictment im starting worry thatbullet got little thanjust ear jost joked reference latest outlandish smear,Kamala Harris,-0.7906,2024-09-29T05:36:47Z
elon musk sicko elon musk posted longwinded racist rambling attack migrant promoted great replacement theory democrat win replace vote man cracked full text utterly demented post xi,Kamala Harris,0.5574,2024-10-01T00:00:02Z
head southern border arizona shes losing ground head friday southern border arizona looking recharge candidacy state trail percentage point,Kamala Harris,-0.3818,2024-09-27T09:10:43Z
super pac sent bogus medicare cancellation notice scare voter arizona older people recently received mailer declaring medicare cancelled big red stamp proclaimed medicare cancellation notice also emblazoned front wa warning rate going plan cancelled,Kamala Harris,-0.5719,2024-10-16T17:45:56Z
renter think better candidate housing survey find close half think would better making housing affordable almost third think would better according redfin,Kamala Harris,0.8271,2024-10-02T17:15:48Z
ha outfoxed change candidate critical come across representing change unpopular biden administration poll show beginning look fresher persuadable voter tired act could change,Kamala Harris,-0.4215,2024-10-08T16:59:15Z
demand transcript minute interview republican suggested encounter ha edited benefit vice president,Kamala Harris,0.5994,2024-10-09T08:13:10Z
navigating life blended family vice president appeared podcast call daddy last week spent time responding comment arkansas gov sarah huckabeesanders spoke democratic nominee rally septemberbrbrmy kid keep,Kamala Harris,0.0,2024-10-15T17:58:42Z
nikki haley voter win nikki haley voter win reach never republican new poll show nikki haley voter arent necessarily following haley column,Kamala Harris,0.8271,2024-10-09T21:11:20Z
bruce springsteen endorses president criticising dangerous dee jeffersonthe guardian dee jefferson guardian bruce springsteen endorses president criticising dangerous born run singer praise tim walzs commitment vision america ive consistently writing,Kamala Harris,0.1027,2024-10-04T13:40:06Z
fan exit rally early hero still talking fortunate enough skip watching donalds rally wilmington nc last night made wise decision held rally four year office narcissist constantly need adoration common theme lately,Kamala Harris,0.9413,2024-09-22T15:40:48Z
campaign ha blood hand migrant crime vice president ha blood hand caused increase migrant crime united state according campaign post campaign ha blood hand migrant crime appeared first breitbart,Kamala Harris,0.8555,2024-09-25T00:57:41Z
theyre really leaving wouldnt know size big deal important became agitated presidential debate bluntly said people start leaving rally early exhaustion boredom via huffpost walker attempted,Kamala Harris,-0.7184,2024-09-29T12:45:57Z
jd vances fascist threat immigrantsillegal speaking press wednesday front crowd supporter north carolina jd vance escalated attack immigrant claiming even legally fact illegal subject deportation reporter asked vance,Kamala Harris,-0.9042,2024-09-18T21:54:22Z
joe rogan say nailing rogan controversial figure spreading misinformation past racist comment ha openly critical,Kamala Harris,-0.7906,2024-09-17T20:58:30Z
cut short town hall qa favor song rally playlist vice president campaign seized moment social medium post saying former president looked confused,Kamala Harris,-0.1779,2024-10-15T14:02:44Z
north carolina governor reacts mark robinson allegation north carolina governor roy cooper say recent allegation north carolina republican gubernatorial nominee mark robinson arent surprising add democratic presidential candidate win north carolina become preside,Kamala Harris,0.4563,2024-09-20T21:23:55Z
vance blame democratic rhetoric assassination attempt nobody ha tried kill since joined presidential race republican vp candidate jd vance ha said read full article rtcom,Kamala Harris,-0.802,2024-09-18T14:12:39Z
tech vc ben horowitz flip make significant donation horowitz wa one several tech executive supported campaign summer planned donate presidential candidate alongside fellow andreessen horowitz cofounder marc andreessen,Kamala Harris,0.4767,2024-10-05T14:57:24Z
charlie sykes threatens undo constitutional order longtime conservative commentator charlie sykes ha endorsed president morning joe sykes,Kamala Harris,0.2023,2024-10-16T19:16:26Z
slog washington gop candidate peddles weather conspiracy jill stein seattle tonight let get drink bop ave maria stranger morning news roundup ashley nerbovig goood morning took walk last night im step grind goddamn beautiful time year might rain today doe itll sprinkle temperature wil,Kamala Harris,-0.3818,2024-10-15T15:49:00Z
msnbc never conservative charlie sykes endorses call antitrump republican voting vp selfdescribed never trumper charlie sykes endorsed vp calling antitrump republican still wont vote post msnbc never conservative charlie sykes endorses call antitrump republican,Kamala Harris,0.7003,2024-10-11T14:17:02Z
crypto industry may benefit supportive joe biden detail crypto industry u may see support leadership compared current joe biden administration supportive biden undoubtedly favorable alex thorn head research galaxy research recentl,Kamala Harris,0.9042,2024-10-16T12:30:21Z
frankly sir trumpleaning voter get earful town hall vice president went tirade trumpleaning voter asked explain got candidacy post frankly sir trumpleaning voter get earful town hall first appeared med,Kamala Harris,0.0,2024-10-12T14:13:03Z
goodbye forever bad music beautiful swastika sorry return debacle human implausibly keep getting worse weirder weekend fascisttothecore presumed gop presidential candidate held ultimate boat parade featuring neonazis flying swastika,Kamala Harris,-0.5423,2024-10-16T05:50:47Z
watters buying black vote welfare check blunt fox news racist assclown jesse watters ha getting desperate hero mental decline get apparent rally interview medium matter report watters called welfare check black men asking,Kamala Harris,-0.0516,2024-10-16T17:29:14Z
census data show american havent gotten pay raise since wa president lower income higher inflation fewer people private health insurance life joe biden,Kamala Harris,-0.2273,2024-09-19T11:16:05Z
extrump aide warns republican strategically disastrous move republican hot water arkansas governor sarah huckabee sander took dig vice president child,Kamala Harris,-0.6486,2024-09-19T02:09:12Z
professor suspended calling male supporter lined shot professor university kansa wassuspended wednesdayafter footage emerged telling class thatmen choose vote lined shot article tyler durden republished zerohedgecom seriously,Kamala Harris,-0.4019,2024-10-10T06:00:00Z
undecided voter tell cnn voting watching vances remark election cbs debate undecided voter told cnn would voting hearing jd vances answer whether would accept result election loses post undecided voter tell cnn voting watching vances remark ab,Kamala Harris,-0.5267,2024-10-02T10:17:35Z
call pas test cognitive stamen agility despite releasing medical record took another page best defense good offense playbook monday challenged vice president take cognitive test post call pas test cognitive stamen agility despite r,Kamala Harris,0.7351,2024-10-14T15:16:45Z
stunner campaign promotes endorsement economic opinion campaign ha posted online statement supporting comment,Kamala Harris,0.8402,2024-09-25T21:16:10Z
american woman v maga men election gender battle abortion right flashpoint chicago special informed comment feature american woman reject criminalizing abortion ridiculing unmarried woman predatory sexual harassment racist attack immigrant ha successful rep,Kamala Harris,-0.8689,2024-10-01T04:15:58Z
say late another debate push second clash gladly accepted cnns invitation debate two week election,Kamala Harris,0.5423,2024-09-21T19:45:19Z
tell call daddy wont womens protector guy said woman punished abortion video alex cooper say also invited republican candidate declined add welcome discus womens right time post tell call daddy wont womens protector guy said woman,Kamala Harris,0.0,2024-10-06T22:00:16Z
dont get psyched evil buffoon evil genius six week go enter home stretch election year think crucial u remember something liberal tend ascribe conservative quality evilgenius play lot stereotype,Kamala Harris,0.7982,2024-09-23T10:00:00Z
trailing arizona alls lost yet got big lead poll arizona still purple state ha repeatedly rejected maga extremist office,Kamala Harris,-0.4939,2024-10-16T00:00:29Z
chance winning florida increase poll tighten still leading florida poll favorite win betting market race tightening,Kamala Harris,0.926,2024-10-01T18:08:55Z
maga called town hall moderator teleprompter lie another conspiracy theory vice president maga including sean hannity stephen miller running rampant internet move harris earringsaudio headphone teleprompter town hall set air univision,Kamala Harris,-0.5267,2024-10-11T13:49:53Z
family jocelyn nungaray rachel morin blame border policy death three mother spoke behalf campaign friday ahead visit southwest border arizona,Kamala Harris,-0.743,2024-09-27T21:08:51Z
top chef padma lakshmi tout cooking passion presidential endorsement skill kitchen earned endorsement worldfamous chefpadma lakshmi host taste nation former top chef judge laid quality wellknown taste cooking bring presidencya,Kamala Harris,0.8271,2024-09-24T10:40:35Z
crazier path wrest alaska away crazier path wrest alaska away second column th story link related storiesvideo howard stern poll overtakes among suburban voter reutersipsos polling show supporter fume,Kamala Harris,-0.0772,2024-10-10T15:52:37Z
chris wallace ha plateaued slight favorite cnn hostchris wallace said thursday situation room thatdemocratic presidential nominee vice president plateaued support post chris wallace ha plateaued slight favorite appeared first breit,Kamala Harris,0.91,2024-10-11T02:06:51Z
doesnt care white people hurricane helene katrina moment wont victim white supporter,Kamala Harris,-0.3875,2024-09-30T20:02:35Z
lara tell kristen welker wa joking around calling mentally disabled lara told nbcs kristen welker joking around attack vp running mate mentally disabled moron post lara tell kristen welker wa joking around calling,Kamala Harris,-0.3818,2024-10-02T19:02:24Z
clap back childless criticism call daddy interview magats stay salty vice president kamla recently made appearance alex cooper popular call daddy podcast supporter also fan podcast extra salty appearance theyre always complaining doesnt interview,Kamala Harris,0.3612,2024-10-07T21:17:22Z
day campaign brace trench warfare new york time new york time day campaign brace trench warfare tight contest seven battleground state candidate pressing thousand vote could sway outcome entire election vi,Kamala Harris,-0.7269,2024-10-05T11:50:05Z
handle world leader better stanley mcchrystal oped new york time general stanley mcchrystal endorsed said would better handling world leader,Kamala Harris,0.7783,2024-09-27T11:27:27Z
wave crashing coastsa major shift happening america right wrap another intense election cycle always telling see still got energy running fume matter wind clear control president jd vance soaring ha,Kamala Harris,0.6486,2024-10-16T12:32:48Z
fbi say iran hacked campaign material gave biden doe suddenly believe fbi federal bureau investigation claim uncovered evidence showing iran responsible stealing information campaign sharing thenbidenharris campaign fbi report suggests email sent people,Kamala Harris,-0.3182,2024-09-20T06:00:00Z
chance taking swing state new poll continues receive good sign north carolina poll show neckandneck former president,Kamala Harris,0.5994,2024-09-27T22:10:55Z
stephen moore want america world highest death tax thanks tax cut amount estate currently exempt tax roughly million,Kamala Harris,-0.34,2024-10-14T18:22:28Z
agrees charlamagne say bring fascism yes say joined radio host charlamagne tha god live audio town hall tuesday answered question listener post agrees charlamagne say bring fascism yes say first appeared medium,Kamala Harris,0.8442,2024-10-15T21:45:46Z
everywhere anxious dems wonder isnt politico politico everywhere anxious dems wonder isnt everywhere democrat increasingly wondering isnt democratic operative including staffer growing increasingly concerned,Kamala Harris,-0.3182,2024-10-05T13:45:02Z
cnn anchor press john bolton refusal endorse either writein pick dick cheney back dems john bolton told cnn still plan casting protest vote election original pick dick cheney endorsed vice president post cnn anchor press john bolton refusal endorse either writein,Kamala Harris,-0.1779,2024-10-03T14:38:26Z
protrump cnn analyst recoil suggestion could become white dude protrump cnn analyst scott jennings recoiled fellow contributor suggested vice president could win white dude post protrump cnn analyst recoil suggestion could become white dude,Kamala Harris,0.5859,2024-09-20T12:09:18Z
charlamagne tha god ad supporting taxpayerfunded surgery transgender inmate wa effective popular radio host charlamagne tha god talked impactful ad campaign highlighting vice president previously expressing support taxpayerfunded surgery transgender inmate post charlamagne tha god ad,Kamala Harris,0.9413,2024-10-01T12:04:37Z
dem rep bigoted point support taxfunded sex change migrant also nonissue monday broadcast cnns outfront rep maxwell frost dfl stated campaign running ad pointing democratic presidential candidate vice president supported taxpayerfunded gender transition surgery peo,Kamala Harris,0.6124,2024-10-15T02:37:47Z
springsteen endorses call dangerous candidate president lifetime last month received endorsement pop superstar taylor swift today presidential candidate got support new jersey legend bruce springsteen new instagram post,Kamala Harris,0.6249,2024-10-03T23:10:33Z
laugh felon cant vote dig rally wa addressing crowd atlanta spoke support florida strict abortion law,Kamala Harris,0.743,2024-09-20T22:39:35Z
democrat man problem belittling making worse late last week inconvenient truth campaign left wholeemerged man problem dude arent current veep losing ground black male voter increasingly attracting demogra,Kamala Harris,-0.5132,2024-10-15T11:00:00Z
less trusted handle hurricane poll new poll ha revealed trust handle natural disaster low aftermath hurricane helene,Kamala Harris,0.5868,2024-10-09T10:42:37Z
raise million california fundraiser skylar woodhousebloomberg skylar woodhouse bloomberg raise million california fundraiser event san francisco los angeles pad advantage vice president urge celebrity attendee activate network raised milli,Kamala Harris,0.25,2024-09-30T03:50:00Z
doug emhoff trash sarah huckabee sander jab biological child charly triballeauafp via getty image doug emhoff hit back former former white house press secretary sarah huckabee sander took swing biological childrenthe governor arkansas said town h,Kamala Harris,0.0,2024-09-19T10:29:05Z
republican senator think electing total fiasco jeff flake endorsing day wa clear seen much know wont respect rule law attack democracy flake like republican whove chosen stand country partyjoe,Kamala Harris,-0.5932,2024-10-02T11:52:19Z
million illegal migrant crossed u border visit border bbc verify assesses claim biden administration immigation record,Kamala Harris,-0.5574,2024-09-28T17:07:37Z
close trust gap economy emily peckaxios emily peck axios close trust gap economy come economy appears closed trust gap seems shaken baggage big picture economy typical,Kamala Harris,0.8625,2024-09-19T11:55:01Z
rally crowd cheer mike penny dick cheney crowd democratic event wisconsin cheered prominent republican figure liz cheney delivered antitrump speech,Kamala Harris,0.6808,2024-10-04T13:33:32Z
obama head pennsylvania give campaign jolt obama head pennsylvania give campaign jolt second column th story link related storiesvideo howard stern overtakes among suburban voter reutersipsos polling show supporter fume,Kamala Harris,-0.0258,2024-10-10T12:52:37Z
historic number black men like voting black american racial demographic told rather persuaded votei stopped blindly supporting democrat many reason obsession identity politics top listrace ha always component political discussion,Kamala Harris,0.6808,2024-10-16T15:28:06Z
elon musk tucker carlson laugh idea assassination ron dickerhuffpost ron dicker huffpost elon musk tucker carlson laugh idea assassination x owner also said would last election loses loading elon musk tucker carlson shared hearty laugh prospect,Kamala Harris,0.6486,2024-10-08T14:00:25Z
really lack empathy basic level hit hard asked hurricane lie put need fear really lack empathy basic level care suffering people post really lack empathy basic level hit hard asked hurrica,Kamala Harris,-0.8929,2024-10-08T15:55:31Z
realist im voting anyway realist choice year election reject,Kamala Harris,-0.4019,2024-10-16T08:18:45Z
jessica tarlov hit back hard fox news cohosts bashing bidenharris praising hurricane helene response fox news host jessica tarlov hit back cohosts bashed president biden vice president rattling stunning stream rejoinder post jessica tarlov hit back hard fox news cohosts bashing bidenharris praising,Kamala Harris,0.8316,2024-10-01T15:55:09Z
fact check springfield murder bidenharris daniel dalecnn daniel dale cnn fact check springfield murder bidenharris facing intense criticism promoting false claim haitian immigrant springfield ohio abducting eating resident pet sen jd vance,Kamala Harris,-0.8885,2024-09-20T20:25:01Z
extrump aide get emotional liz cheney speaking abcscreengrab liz cheney ha big fan one view cohosts alyssa farah griffin whose voice seemed crack friday show lauded former congresswoman whats righti watched person person admired looked,Kamala Harris,0.8225,2024-10-04T17:19:37Z
accuse playing political game immigration border visit myah wardpolitico myah ward politico accuse playing political game immigration border visit vice president making first trip southern border democratic nominee vice president make first,Kamala Harris,0.0,2024-09-27T09:45:04Z
like msnbc score one interview get fawning fox news chat reg vp opening medium strategy pair new interview set drop msnbc host stephanie ruhle popular sport podcast post like msnbc score one interview get fawning fox new,Kamala Harris,0.6908,2024-09-25T21:28:04Z
harris wall street charm offensive begin pay financial time financial time harris wall street charm offensive begin pay vicepresident build tie finance boss attempt quell support wall street warming u presidential candidate week behind,Kamala Harris,0.2263,2024-10-04T22:20:03Z
better representing u world stage swing state poll trusted nationally failing convince swing state voter one lead america world stage,Kamala Harris,0.5719,2024-09-24T14:55:56Z
larry kudlow furious record stock market former maga economic advisor larry kudlow could barely contain fury stock market hit record high thursday response fed cutting rate wednesday kudlow like wall street folk demanding rate cut tim,Kamala Harris,-0.8451,2024-09-20T15:15:36Z
ga governor expose lie biden held press event georgia used attack bidenharris administration supposedly failing respond need georgia aftermath hurricane helene governor brian kemp told entirely different story went,Kamala Harris,-0.7906,2024-10-01T14:31:52Z
rudy giulianis daughter give heartbreaking reason endorsing watching dad life crumble since joined force ha extraordinarily painful watching dad life crumble since joined force ha extraordinarily painful,Kamala Harris,-0.6124,2024-10-01T14:00:00Z
melania record speaks former first lady discussed husband democratic rival rare interview fox news promote new book,Kamala Harris,0.3818,2024-09-26T11:19:02Z
cooper cock paul mescal short loses completely jimmy carter lived long enough vote billy porter go pack cooper cock paul mescal short loses completely jimmy carter lived long enough vote billy porter go pack,Kamala Harris,-0.7003,2024-10-15T21:16:10Z
inch closer polymarket betting pass billion lead one percentage point prediction market expected carry swing state,Kamala Harris,0.0,2024-09-30T14:43:43Z
presidential poll update silent majority pollster may overlooked could give win republican supporting say silent majority american give edge former lawmaker say pollster may overlooked american collect data poll show,Kamala Harris,0.7579,2024-10-16T18:47:00Z
campaign mock rejecting second debate challenge hq took x criticize former president refusing take part cnn debate october,Kamala Harris,-0.8689,2024-09-22T15:19:07Z
mike blog round lawyer gun money john robert rationalization give cover emptywheel dodged two truth problem horizon story jd vance doesnt want hear small town like springfield ohio annieasksyou p,Kamala Harris,-0.1336,2024-09-19T15:38:45Z
sarah huckabee sander humble jab wasnt cruel wa calculated arkansas gov sarah huckabee sander choice particularly cruel comment share vice president recent town hall,Kamala Harris,0.8228,2024-09-19T18:01:53Z
look fell coconut tree maya rudolph lampoon also get skewered rollicking snl open one snls storied alum returned studio h saturday delivered rollicking sendup vice president post look fell coconut tree maya rudolph lampoon also get skewer,Kamala Harris,0.0,2024-09-29T13:36:10Z
maga prophet push antiharris nonsense credit god selfproclaimed evangelical maga prophet mario murillo claimed god spoke compelled prophesize vp daughter lie coming back loses convicted felon admitting sexually,Kamala Harris,0.25,2024-09-26T00:11:02Z
liz cheney stupid warhawk want shoot missile people said former wyoming congresswoman campaigned thursday,Kamala Harris,-0.6705,2024-10-04T11:27:13Z
v poll rock fight ha slight advantage poll show harristrump rock fight without much recent movement may come ground game could small crucial edge,Kamala Harris,-0.2023,2024-10-03T17:44:53Z
take lead fox news poll democratic candidate ha received percent potential vote first time since joining ticket,Kamala Harris,0.34,2024-09-18T23:05:43Z
sits charlamagne fox maybe rogan poll tighten reuters sits charlamagne fox maybe rogan poll tightenreuters election live update appear detroit charlamagne tha god heading georgiathe washington post detroit pastor offended strategy woo bl,Kamala Harris,0.7579,2024-10-15T21:12:41Z
wholly unqualified campaign responds medical report release vice president democratic presidential nominee released medical record saturday,Kamala Harris,0.0,2024-10-12T16:52:22Z
campaign liz cheney bid win republican skeptical ece yildirimcnbc ece yildirim cnbc campaign liz cheney bid win republican skeptical republican former rep liz cheney hit campaign trail democratic vice president thursday ripon wisconsin part coordi,Kamala Harris,0.6124,2024-10-04T10:40:02Z
hold major lead among florida independent poll leading four point florida ha point advantage independent according new poll,Kamala Harris,0.5267,2024-10-10T13:13:45Z
watch walz claim deploy military american dont support watch walz claim deploy military american dont support authored steve watson via modernitynews speech monday tim walz claimed president want use military,Kamala Harris,-0.4966,2024-10-16T17:55:05Z
want lock jonathan chait obviously none particular allegation harris case hasnt even managed manufacture pretextual criminal allegation matter slightest view law fully relativist action taken,Kamala Harris,-0.4588,2024-09-30T16:04:56Z
take shot small rally answering union support question msnbc interview vp took shot rally msnbc host stephanie ruhle asked national teamster union labor support peeling post take shot small rally answering union support question,Kamala Harris,0.7964,2024-09-26T12:46:17Z
obama campaign candidate hit swing state former president barack obama hit campaign trail thursday pittsburgh vice president made impassioned plea focusing attention black men voter group ha struggled gain support meanwhile campaign,Kamala Harris,0.7269,2024-10-11T17:09:00Z
bill maher tell dems fix insanity far left trumpism wont go away even loss bill maher sticking prediction defeat warned democrat far left continue birth clone post bill maher tell dems fix insanity far left trumpism wont go away e,Kamala Harris,-0.93,2024-09-17T16:47:12Z
slam weak unfit seeking flattery favor dictator video democratic presidential nominee also tell charlamagne tha god opponent would prefer run problem instead fixing problem post slam weak unfit seeking flattery favor dictator video appea,Kamala Harris,-0.7964,2024-10-16T00:25:42Z
cnbcs jim cramer float conspiracy theory could manipulate stock price claim advantage cnbcs jim cramer floated conspiracy theory howtrumps medium stock could manipulated claim advantage vp post cnbcs jim cramer float conspiracy theory could manipulate stock price claim advantage ka,Kamala Harris,-0.8316,2024-10-15T18:39:57Z
