article,candidate,score,publishedAt
muir comoderator linsey davis factchecked former president five time without ever correcting vice president post david muir abc world news tonight suffers rating drop following trumpharris debate first appeared legal,Kamala Harris,-0.5719,2024-09-18T13:00:10Z
extrump aide warns republican strategically disastrous move,Kamala Harris,-0.6486,2024-09-19T02:09:12Z
republican hot water arkansas governor sarah huckabee sander took dig vice president child,Kamala Harris,0.0,2024-09-19T02:09:12Z
harold meyerson happened teamster,Kamala Harris,0.0,2024-09-21T15:00:00Z
sought endorsement international brotherhood teamster board decided endorsement surprised many people biden administration wa prounion presidency decade administrat,Kamala Harris,0.6705,2024-09-21T15:00:00Z
close trust gap economy emily peckaxios,Kamala Harris,0.5106,2024-09-19T11:55:01Z
emily peck axios close trust gap economy come economy appears closed trust gap seems shaken baggage big picture economy typical,Kamala Harris,0.743,2024-09-19T11:55:01Z
live update mark robinson scandal put swing state north carolina spotlight,Kamala Harris,-0.4404,2024-09-20T10:35:17Z
gop deal scandal north carolina involving trumpendorsed candidate hold rally wisconsin follow newsweeks live blog,Kamala Harris,-0.4404,2024-09-20T10:35:17Z
national law enforcement group endorses president fernando cervantes jrusa today,Kamala Harris,0.34,2024-09-24T01:55:00Z
fernando cervantes jr usa today national law enforcement group endorses president presidential endorsement first police leader community safety coming wa endorsed national fraternal order,Kamala Harris,0.8176,2024-09-24T01:55:00Z
full list republican signing letter biden,Kamala Harris,0.0,2024-09-20T16:17:38Z
exrepublican member congress national security official including two former administration official endorsed letter,Kamala Harris,0.5267,2024-09-20T16:17:38Z
speak abortion georgia,Kamala Harris,0.0,2024-09-20T10:32:43Z
plan friday give first abortion speech atlanta address death two georgia woman according senior campaign official highlight dangerous consequence call abortion ban,Kamala Harris,-0.8481,2024-09-20T10:32:43Z
bill maher tell dems fix insanity far left trumpism wont go away even loss,Kamala Harris,-0.7184,2024-09-17T16:47:12Z
bill maher sticking prediction defeat warned democrat far left continue birth clone post bill maher tell dems fix insanity far left trumpism wont go away e,Kamala Harris,-0.8316,2024-09-17T16:47:12Z
speak abortion georgia seeking tie death two woman policy abc news,Kamala Harris,-0.5994,2024-09-20T10:50:00Z
abc news speak abortion georgia seeking tie death two woman policy warn georgian suspect record official said democratic presidential nominee vice president answer,Kamala Harris,-0.7579,2024-09-20T10:50:00Z
within striking distance tim walzs home state,Kamala Harris,0.0,2024-09-24T17:37:46Z
recent poll show may build showing minnesota despite governor vp running mate,Kamala Harris,0.0,2024-09-24T17:37:46Z
fact check springfield murder bidenharris daniel dalecnn,Kamala Harris,-0.6908,2024-09-20T20:25:01Z
daniel dale cnn fact check springfield murder bidenharris facing intense criticism promoting false claim haitian immigrant springfield ohio abducting eating resident pet sen jd vance,Kamala Harris,-0.7003,2024-09-20T20:25:01Z
watch reveal detail phone call second assassination attempt,Kamala Harris,-0.5994,2024-09-18T14:30:45Z
amid partisan fingerpointing recrimination irresponsible rhetoric leading political violence two presidential candidate shared nice call post watch reveal detail phone call second assassinatio,Kamala Harris,-0.4215,2024-09-18T14:30:45Z
new ad cringe think theyre actually nick aramaredstate,Kamala Harris,0.0,2024-09-24T10:35:01Z
nick arama redstate new ad cringe think theyre actually surely wracking endorsement except theyre kind endorsement arent exactly going make people vote inclu,Kamala Harris,0.872,2024-09-24T10:35:01Z
better representing u world stage swing state poll,Kamala Harris,0.4404,2024-09-24T14:55:56Z
trusted nationally failing convince swing state voter one lead america world stage,Kamala Harris,0.2023,2024-09-24T14:55:56Z
snl weekend update tackle assassination attempt p diddy eric adam indictment,Kamala Harris,-0.5994,2024-09-29T05:36:47Z
im starting worry bullet got little ear jost joked reference latest outlandish smear,Kamala Harris,-0.5209,2024-09-29T05:36:47Z
snl cold open dance longs old biden,Kamala Harris,0.0,2024-09-29T04:40:56Z
featuring maya rudolph comedian jim gaffigan tim walz andy samberg doug emhoff dana carvey joe biden,Kamala Harris,0.3818,2024-09-29T04:40:56Z
marijuana stance hazier think,Kamala Harris,0.0,2024-09-27T09:39:19Z
signaling support marijuana legalization still unclear whether would go biden saul loebafp via getty image ha previously supported federal marijuana legalization continues back reform bu,Kamala Harris,0.6597,2024-09-27T09:39:19Z
rudy giulianis daughter give heartbreaking reason endorsing,Kamala Harris,-0.4588,2024-10-01T14:00:00Z
watching dad life crumble since joined force ha extraordinarily painful watching dad life crumble since joined force ha extraordinarily painful,Kamala Harris,-0.25,2024-10-01T14:00:00Z
inch closer polymarket betting pass billion,Kamala Harris,0.0,2024-09-30T14:43:43Z
lead one percentage point prediction market expected carry swing state,Kamala Harris,0.0,2024-09-30T14:43:43Z
supporter declare netflix boycott,Kamala Harris,-0.0516,2024-10-01T14:04:46Z
netflix subscription number fallen since july cofounder endorsed bloomberg ha reported read full article rtcom,Kamala Harris,0.296,2024-10-01T14:04:46Z
new proharris ad go peteating lie,Kamala Harris,0.0,2024-09-25T21:22:08Z
taking overt racism using ad seems least could future forward largest democraticleaning super pac source huffington post ff pac proharris super pac ha released second ad highlighting racis,Kamala Harris,0.836,2024-09-25T21:22:08Z
fact checking economic promise comment,Kamala Harris,0.3182,2024-09-26T16:02:00Z
vice president campaigned pittsburgh revealed economic policy plan enact elected president cbs news confirmed executive editor rhona tarrant ha claim,Kamala Harris,0.34,2024-09-26T16:02:00Z
make another premature victory claim,Kamala Harris,0.0,2024-09-28T13:00:50Z
make another premature victory claim could try exploit election night lead year red mirage may weaker wa,Kamala Harris,-0.5106,2024-09-28T13:00:50Z
levy personal attack wisconsin rally,Kamala Harris,-0.4767,2024-09-29T02:05:00Z
speech prairie du chien wisconsin republican nominee intensified personal attack vice president,Kamala Harris,-0.4767,2024-09-29T02:05:00Z
million illegal migrant crossed u border,Kamala Harris,-0.5574,2024-09-28T17:07:37Z
visit border bbc verify assesses claim biden administration immigation record,Kamala Harris,0.0,2024-09-28T17:07:37Z
think faye dunaway communist marxist,Kamala Harris,0.0,2024-10-01T01:00:01Z
sunday rally erie pennsylvania rambled knowing difference communism marxism socialism instead evoked movie chinatown clear thing claimed vp ha allowed million billion crim,Kamala Harris,0.6124,2024-10-01T01:00:01Z
rudy giulianis daughter took dad please dont let take country,Kamala Harris,0.3182,2024-09-30T16:22:14Z
nothing experienced prepared public relentless implosion father life writes caroline giuliani announcing support,Kamala Harris,0.3036,2024-09-30T16:22:14Z
think national poll week election,Kamala Harris,0.0,2024-09-26T09:00:51Z
good reason supporter dont feel national polling lead big enough electoral college advantage may may recur,Kamala Harris,0.7184,2024-09-26T09:00:51Z
taylor swift ha republican seeing red,Kamala Harris,0.4939,2024-09-27T20:40:32Z
afraid little old republican seems unsurprisingly pissed taylor swift endorsed earlier month recent nbc news poll found percent republican unfavorable view swift significant incr,Kamala Harris,0.0516,2024-09-27T20:40:32Z
head southern border arizona shes losing ground,Kamala Harris,-0.3818,2024-09-27T09:10:43Z
head friday southern border arizona looking recharge candidacy state trail percentage point,Kamala Harris,0.0,2024-09-27T09:10:43Z
american woman v maga men election gender battle abortion right flashpoint,Kamala Harris,-0.3818,2024-10-01T04:15:58Z
chicago special informed comment feature american woman reject criminalizing abortion ridiculing unmarried woman predatory sexual harassment racist attack immigrant ha successful rep,Kamala Harris,-0.802,2024-10-01T04:15:58Z
campaign ha blood hand migrant crime,Kamala Harris,0.2732,2024-09-25T00:57:41Z
vice president ha blood hand caused increase migrant crime united state according campaign post campaign ha blood hand migrant crime appeared first breitbart,Kamala Harris,0.8074,2024-09-25T00:57:41Z
charlamagne tha god ad supporting taxpayerfunded surgery transgender inmate wa effective,Kamala Harris,0.7964,2024-10-01T12:04:37Z
popular radio host charlamagne tha god talked impactful ad campaign highlighting vice president previously expressing support taxpayerfunded surgery transgender inmate post charlamagne tha god ad,Kamala Harris,0.8271,2024-10-01T12:04:37Z
whine small crowd size wisconsin,Kamala Harris,-0.3612,2024-09-30T17:53:50Z
wa forced indoor rally wisconsin security concern wildly exaggerated number people waiting outside couldnt get certainly ha turned screw inside brain rally k,Kamala Harris,-0.6336,2024-09-30T17:53:50Z
theyre really leaving wouldnt,Kamala Harris,0.0,2024-09-29T12:45:57Z
know size big deal important became agitated presidential debate bluntly said people start leaving rally early exhaustion boredom via huffpost walker attempted,Kamala Harris,-0.7184,2024-09-29T12:45:57Z
say busy winning sue factchecking abc debate anchor,Kamala Harris,0.5267,2024-09-28T17:55:18Z
wa called live four lie million viewer debated earlier month,Kamala Harris,0.0,2024-09-28T17:55:18Z
nancy mace serf slandering migrant,Kamala Harris,0.0,2024-09-25T21:06:14Z
fox news faulkner focus south carolina representative described migrant coming country rapist pedophile murderer claiming every state ha become border state rep mace parroting disgraceful rhetoric lie,Kamala Harris,-0.8442,2024-09-25T21:06:14Z
look cut voter trust border,Kamala Harris,0.296,2024-09-28T00:30:00Z
vice president campaigned along southern border douglas arizona friday first trip since becoming presidential nominee cbs news senior white house political correspondent ed okeefe report campaign hope,Kamala Harris,0.4404,2024-09-28T00:30:00Z
cnns scott jennings suggests cant expect win network poll show voter remember better,Kamala Harris,-0.0444,2024-09-25T14:01:24Z
scott jennings said doesnt understand anticipate victory given cnns poll,Kamala Harris,0.0,2024-09-25T14:01:24Z
ethel cain defends chappell roan refusal endorse,Kamala Harris,0.3182,2024-09-27T01:00:21Z
ethel cain defends chappell roan people demanding endorse harrisyall stupid enough scream fck israel year rightfully go happily vote like didnt get debate stage,Kamala Harris,0.1027,2024-09-27T01:00:21Z
doesnt care white people,Kamala Harris,-0.3875,2024-09-30T20:02:35Z
hurricane helene katrina moment wont victim white supporter,Kamala Harris,0.0,2024-09-30T20:02:35Z
hart campaign waning men hallelujah waning men,Kamala Harris,0.6124,2024-09-25T20:17:02Z
currently assassination attempt let take time evaluate campaign,Kamala Harris,-0.5994,2024-09-25T20:17:02Z
giulianis daughter endorses,Kamala Harris,0.34,2024-09-30T22:07:07Z
rudy giulianis daughter caroline rose giuliani endorsed writing vanity fair ha watched father life crumble since joined force trumpgiulianis wrote first term wa worst thing ever h,Kamala Harris,-0.0772,2024-09-30T22:07:07Z
maga prophet push antiharris nonsense credit god,Kamala Harris,0.25,2024-09-26T00:11:02Z
selfproclaimed evangelical maga prophet mario murillo claimed god spoke compelled prophesize vp daughter lie coming back loses convicted felon admitting sexually,Kamala Harris,0.0,2024-09-26T00:11:02Z
ga governor expose lie biden,Kamala Harris,-0.1531,2024-10-01T14:31:52Z
held press event georgia used attack bidenharris administration supposedly failing respond need georgia aftermath hurricane helene governor brian kemp told entirely different story went,Kamala Harris,-0.7506,2024-10-01T14:31:52Z
scientific american endorses,Kamala Harris,0.34,2024-09-30T13:00:00Z
second time year history prestigious magazine scientific american issued presidential endorsement endorsed endorsement history wa four year ago joe biden magazine care deeply,Kamala Harris,0.8316,2024-09-30T13:00:00Z
want lock,Kamala Harris,0.0772,2024-09-30T16:04:56Z
jonathan chait obviously none particular allegation harris case hasnt even managed manufacture pretextual criminal allegation matter slightest view law fully relativist action taken,Kamala Harris,-0.5106,2024-09-30T16:04:56Z
huge development cnn polling expert highlight potential secret weapon,Kamala Harris,0.3612,2024-09-26T16:32:49Z
decade republican relied upon older voter turning large number make deficit younger votershowever cnn polling expert harry enten thursday highlighted polling showing could actually reverse elec,Kamala Harris,-0.34,2024-09-26T16:32:49Z
rage gavin newscum fake photo ops statement iran attacking israel,Kamala Harris,-0.8658,2024-10-01T18:35:57Z
took truth social tuesday attack president joe biden vice president iranian missile raining israel post rage gavin newscum fake photo ops statement iran attacking,Kamala Harris,-0.8885,2024-10-01T18:35:57Z
double calling mentally impaired definitely something missing,Kamala Harris,0.128,2024-09-29T20:03:11Z
doubled claiming vice president wa born mentally impaired speaking supporter rally sunday post double calling mentally impaired definitely something missi,Kamala Harris,0.5859,2024-09-29T20:03:11Z
matt barnes asks people questioning blackness like new podcast interview,Kamala Harris,0.2732,2024-09-30T16:40:27Z
matt barnes asked vp people questioning black identity infamously got detailed response post matt barnes asks people questioning blackness like new podcast inter,Kamala Harris,0.1779,2024-09-30T16:40:27Z
woke economist endorsement prioritizes ideology reality,Kamala Harris,0.3182,2024-09-27T11:20:18Z
despite existing data exposing economic disaster economist turning misinformation hurt,Kamala Harris,-0.8396,2024-09-27T11:20:18Z
bust laughing msnbc host asks mcdonalds rant,Kamala Harris,0.2023,2024-09-26T11:52:43Z
vp busted laughing msnbc host stephanie ruhle asked recent rant mcdonalds working fry station post bust laughing msnbc host asks mcdonalds rant first appeared,Kamala Harris,0.3818,2024-09-26T11:52:43Z
sarah huckabee sander considers womens health single issue,Kamala Harris,0.0,2024-09-25T20:00:01Z
fox news sarah huckabee sander castigated left instead behavior towards woman explain woman overwhelmingly support host john robert read latest polling number show vp way front,Kamala Harris,0.3612,2024-09-25T20:00:01Z
new yorker endorses president,Kamala Harris,0.34,2024-09-29T10:00:00Z
new yorkers editor although made extraordinary inroad electorate responsible assessment contest ha luxury focussing imperative administration gliding past ramification ano,Kamala Harris,0.5719,2024-09-29T10:00:00Z
fox news poll ahead point georgia dana blantonfox news,Kamala Harris,0.0,2024-09-27T01:25:03Z
dana blanton fox news fox news poll ahead point georgia georgian trust helping middle class point headtohead matchup vice president top former president,Kamala Harris,0.743,2024-09-27T01:25:03Z
zelensky trashed pennsylvania mcconnell rewarded photoop,Kamala Harris,0.4939,2024-09-26T20:28:07Z
mcconnell met zelensky house colleague opened investigation foreign leader campaign stop pennsylvania,Kamala Harris,-0.296,2024-09-26T20:28:07Z
rack celebrity support see opening attack matt dixonnbc news,Kamala Harris,-0.1027,2024-09-25T14:15:05Z
matt dixon nbc news rack celebrity support see opening attack celebrity flocking endorse campaign ha tried portray vice president campaign touch ordinary,Kamala Harris,0.5106,2024-09-25T14:15:05Z
green pres vp candidate jill stein butch ware gaza fighting two zombie political party,Kamala Harris,0.0516,2024-09-25T12:24:30Z
democracy speaks green party presidential ticket jill stein running mate butch ware green party suffered setback friday u supreme court declined request put stein ballot nevada democratic p,Kamala Harris,0.7003,2024-09-25T12:24:30Z
melania reacts vp replacing biden democratic nominee country suffering fox news,Kamala Harris,-0.4767,2024-09-26T17:45:08Z
fox news melania reacts vp replacing biden democratic nominee country suffering bidenharris record speaks good way according former first lady melania asked vice presi,Kamala Harris,-0.0516,2024-09-26T17:45:08Z
chance taking swing state new poll,Kamala Harris,0.25,2024-09-27T22:10:55Z
continues receive good sign north carolina poll show neckandneck former president,Kamala Harris,0.4404,2024-09-27T22:10:55Z
compete latino vote different way nnamdi egwuonwunbc news,Kamala Harris,0.0,2024-09-29T18:00:06Z
nnamdi egwuonwu nbc news compete latino vote different way seeking advantage economy especially among younger men spending vastly targeted advertising outreach tucson,Kamala Harris,0.4767,2024-09-29T18:00:06Z
took dad rudy giulianis daughter lament father maga turn,Kamala Harris,-0.4588,2024-10-01T02:04:55Z
rudy giulianis daughter caroline giuliani endorsed vice president lamented father relationship monday post took dad rudy giulianis daughter lament father maga turn first appeared mediaite,Kamala Harris,-0.5267,2024-10-01T02:04:55Z
u election immigration remains major issue voter trust border security,Kamala Harris,0.6908,2024-09-25T14:26:26Z
immigration remains significant issue many voter try anything different predecessor,Kamala Harris,0.2023,2024-09-25T14:26:26Z
melania record speaks,Kamala Harris,0.0,2024-09-26T11:19:02Z
former first lady discussed husband democratic rival rare interview fox news promote new book,Kamala Harris,0.3818,2024-09-26T11:19:02Z
look fell coconut tree maya rudolph lampoon also get skewered rollicking snl open,Kamala Harris,0.0,2024-09-29T13:36:10Z
one snls storied alum returned studio h saturday delivered rollicking sendup vice president post look fell coconut tree maya rudolph lampoon also get skewer,Kamala Harris,0.0,2024-09-29T13:36:10Z
biden slam view appearance social redeeming value,Kamala Harris,-0.0516,2024-09-25T17:42:55Z
president biden discusses decision step criticizes reflects legacy support,Kamala Harris,0.0772,2024-09-25T17:42:55Z
take shot small rally answering union support question msnbc interview,Kamala Harris,0.4019,2024-09-26T12:46:17Z
vp took shot rally msnbc host stephanie ruhle asked national teamster union labor support peeling post take shot small rally answering union support question,Kamala Harris,0.6597,2024-09-26T12:46:17Z
like msnbc score one interview get fawning fox news chat reg,Kamala Harris,0.3612,2024-09-25T21:28:04Z
vp opening medium strategy pair new interview set drop msnbc host stephanie ruhle popular sport podcast post like msnbc score one interview get fawning fox new,Kamala Harris,0.4939,2024-09-25T21:28:04Z
chance winning florida increase poll tighten,Kamala Harris,0.7717,2024-10-01T18:08:55Z
still leading florida poll favorite win betting market race tightening,Kamala Harris,0.7783,2024-10-01T18:08:55Z
slump taylor swift loses million spotify listener endorsement,Kamala Harris,0.2023,2024-10-01T15:13:49Z
pop star youtube viewership took even bigger hit postendorsement post slump taylor swift loses million spotify listener endorsement appeared first thewrap,Kamala Harris,0.2023,2024-10-01T15:13:49Z
raise million california fundraiser skylar woodhousebloomberg,Kamala Harris,0.0,2024-09-30T03:50:00Z
skylar woodhouse bloomberg raise million california fundraiser event san francisco los angeles pad advantage vice president urge celebrity attendee activate network raised milli,Kamala Harris,0.25,2024-09-30T03:50:00Z
see rip itty bitty piece border speech damn good,Kamala Harris,0.0516,2024-09-28T19:30:48Z
prefers run problem instead fixing problem,Kamala Harris,-0.6597,2024-09-28T19:30:48Z
handle world leader better stanley mcchrystal,Kamala Harris,0.4404,2024-09-27T11:27:27Z
oped new york time general stanley mcchrystal endorsed said would better handling world leader,Kamala Harris,0.5994,2024-09-27T11:27:27Z
chappell roan spark outrage nonendorsement mispronouncing,Kamala Harris,-0.34,2024-09-26T18:08:08Z
singersongwriter chappell roan attempting clarify political stance ahead presidential election nonendorsement vice president stoked outrage among democratic fan last week new tiktok attempted,Kamala Harris,-0.25,2024-09-26T18:08:08Z
iran hack assassination plot act war lindsey graham say,Kamala Harris,-0.8316,2024-09-25T01:45:27Z
graham urged president joe biden vice president something alleged iranian plot,Kamala Harris,0.0,2024-09-25T01:45:27Z
fact check ship semiconductor china military use,Kamala Harris,0.0,2024-09-25T22:27:21Z
said wednesday policy made easier china acquire advanced semiconductor chip,Kamala Harris,0.5859,2024-09-25T22:27:21Z
lead critical swing statesnew poll,Kamala Harris,-0.3182,2024-09-26T17:36:24Z
vice president clearest path victory includes michigan pennsylvania polling show ahead,Kamala Harris,0.0,2024-09-26T17:36:24Z
family jocelyn nungaray rachel morin blame border policy death,Kamala Harris,-0.743,2024-09-27T21:08:51Z
three mother spoke behalf campaign friday ahead visit southwest border arizona,Kamala Harris,0.0,2024-09-27T21:08:51Z
stunner campaign promotes endorsement economic opinion,Kamala Harris,0.5719,2024-09-25T21:16:10Z
campaign ha posted online statement supporting comment,Kamala Harris,0.6486,2024-09-25T21:16:10Z
antenna netflix cancellation spiked day late july reed hastings endorsed announced super pac donation lucas shawbloomberg,Kamala Harris,0.7096,2024-09-30T09:25:04Z
lucas shaw bloomberg antenna netflix cancellation spiked day late july reed hastings endorsed announced super pac donation rate cancellation almost tripled backer called action aga,Kamala Harris,0.7096,2024-09-30T09:25:04Z
republican continue file lawsuit gain election control,Kamala Harris,0.3612,2024-09-30T18:18:10Z
arizona advocacy group founded creepy dangerous stephen miller advancing bold legal theory judge throw election result failure irregularity local official course republican charge via,Kamala Harris,-0.5106,2024-09-30T18:18:10Z
personally triggered cnn morning crew stunned obsession mcdonalds,Kamala Harris,-0.4215,2024-09-25T14:55:10Z
